 # This file contain the data for renormalised velocity
 # Momentum    Velocity
  0.255892247       2.20406342    
  0.259259254       2.19724298    
  0.262626261       2.18886518    
  0.265993267       2.18221045    
  0.269360274       2.17616010    
  0.272727281       2.16794562    
  0.276094288       2.16118026    
  0.279461265       2.15550590    
  0.282828271       2.14773655    
  0.286195278       2.14093184    
  0.289562285       2.13544798    
  0.292929292       2.12823462    
  0.296296299       2.12138081    
  0.299663305       2.11586475    
  0.303030312       2.10931587    
  0.306397319       2.10245109    
  0.309764296       2.09688783    
  0.313131303       2.09102631    
  0.316498309       2.08414650    
  0.319865316       2.07848787    
  0.323232323       2.07308364    
  0.326599330       2.06640482    
  0.329966336       2.06066537    
  0.333333343       2.05558610    
  0.336700350       2.04917002    
  0.340067327       2.04339099    
  0.343434334       2.03851891    
  0.346801341       2.03238750    
  0.350168347       2.02659440    
  0.353535354       2.02170110    
  0.356902361       2.01605797    
  0.360269368       2.01024294    
  0.363636374       2.00534344    
  0.367003381       2.00013995    
  0.370370358       1.99433148    
  0.373737365       1.98940921    
  0.377104372       1.98451579    
  0.380471379       1.97884762    
  0.383838385       1.97382748    
  0.387205392       1.96920264    
  0.390572399       1.96367848    
  0.393939406       1.95859206    
  0.397306383       1.95410335    
  0.400673389       1.94885004    
  0.404040396       1.94377947    
  0.407407403       1.93938816    
  0.410774410       1.93438256    
  0.414141417       1.92928672    
  0.417508423       1.92486727    
  0.420875430       1.92015088    
  0.424242437       1.91509223    
  0.427609414       1.91063631    
  0.430976421       1.90620315    
  0.434343427       1.90122044    
  0.437710434       1.89671838    
  0.441077441       1.89246297    
  0.444444448       1.88759124    
  0.447811455       1.88306308    
  0.451178461       1.87891459    
  0.454545468       1.87422466    
  0.457912445       1.86970961    
  0.461279452       1.86559176    
  0.464646459       1.86105919    
  0.468013465       1.85654426    
  0.471380472       1.85249627    
  0.474747479       1.84816694    
  0.478114486       1.84365165    
  0.481481493       1.83957267    
  0.484848499       1.83548152    
  0.488215476       1.83095980    
  0.491582483       1.82686031    
  0.494949490       1.82287014    
  0.498316497       1.81850493    
  0.501683474       1.81435454    
  0.505050480       1.81046855    
  0.508417487       1.80623138    
  0.511784494       1.80207765    
  0.515151501       1.79819095    
  0.518518507       1.79409254    
  0.521885514       1.78995705    
  0.525252521       1.78617394    
  0.528619528       1.78215039    
  0.531986535       1.77802062    
  0.535353541       1.77422166    
  0.538720548       1.77035463    
  0.542087555       1.76624918    
  0.545454562       1.76244497    
  0.548821568       1.75858557    
  0.552188575       1.75461018    
  0.555555582       1.75078762    
  0.558922529       1.74709451    
  0.562289536       1.74311531    
  0.565656543       1.73928463    
  0.569023550       1.73568523    
  0.572390556       1.73182154    
  0.575757563       1.72794390    
  0.579124570       1.72435009    
  0.582491577       1.72061229    
  0.585858583       1.71673334    
  0.589225590       1.71310818    
  0.592592597       1.70949852    
  0.595959604       1.70565546    
  0.599326611       1.70203578    
  0.602693617       1.69845521    
  0.606060624       1.69466066    
  0.609427631       1.69104719    
  0.612794638       1.68750834    
  0.616161644       1.68380404    
  0.619528592       1.68019986    
  0.622895598       1.67670977    
  0.626262605       1.67308044    
  0.629629612       1.66945302    
  0.632996619       1.66598928    
  0.636363626       1.66241300    
  0.639730632       1.65877771    
  0.643097639       1.65532267    
  0.646464646       1.65181422    
  0.649831653       1.64821362    
  0.653198659       1.64475405    
  0.656565666       1.64132178    
  0.659932673       1.63772321    
  0.663299680       1.63428342    
  0.666666687       1.63088143    
  0.670033693       1.62734842    
  0.673400700       1.62390077    
  0.676767647       1.62051642    
  0.680134654       1.61705828    
  0.683501661       1.61357427    
  0.686868668       1.61026108    
  0.690235674       1.60682404    
  0.693602681       1.60330832    
  0.696969688       1.59997582    
  0.700336695       1.59660077    
  0.703703701       1.59313810    
  0.707070708       1.58979261    
  0.710437715       1.58641696    
  0.713804722       1.58299482    
  0.717171729       1.57968497    
  0.720538735       1.57637739    
  0.723905742       1.57296765    
  0.727272749       1.56959736    
  0.730639756       1.56630969    
  0.734006763       1.56293893    
  0.737373710       1.55956125    
  0.740740716       1.55623758    
